full_name,category,priority
vercel/ai,ai-agent,10
activepieces/activepieces,workflow-automation,10
zai-org/Open-AutoGLM,ai-agent,20
agent0ai/agent-zero,ai-agent,10
NousResearch/hermes-agent,ai-agent,10
vercel-labs/agent-browser,browser-automation,10
crewAIInc/crewAI,ai-agent,10
microsoft/autogen,ai-agent,10
Fosowl/agenticSeek,ai-agent,20
mem0ai/mem0,ai-agent,10
browser-use/browser-use,browser-automation,10
openai/openai-agents-python,ai-agent,10
FoundationAgents/MetaGPT,ai-agent,20
The-Pocket/PocketFlow,ai-agent,20
mastra-ai/mastra,ai-agent,10
langgenius/dify,ai-agent,10
simstudioai/sim,workflow-automation,20
HKUDS/nanobot,ai-agent,20
topoteretes/cognee,rag,20
humanlayer/12-factor-agents,ai-agent,30
lightpanda-io/browser,browser-automation,10
SeleniumHQ/selenium,browser-automation,20
webdriverio/webdriverio,browser-automation,20
AutomaApp/automa,browser-automation,20
hyperbrowserai/HyperAgent,browser-automation,20
ServiceNow/BrowserGym,browser-automation,30
go-rod/rod,browser-automation,20
Skyvern-AI/skyvern,browser-automation,10
jo-inc/camofox-browser,browser-automation,30
browserable/browserable,browser-automation,30
laravel/dusk,browser-automation,30
Tencent/BrowserSkill,browser-automation,30
vibheksoni/stealth-browser-mcp,browser-automation,30
pinchtab/pinchtab,browser-automation,20
intoli/remote-browser,browser-automation,40
nanobrowser/nanobrowser,browser-automation,20
browser-use/web-ui,browser-automation,30
browser-use/browser-harness,browser-automation,30
scrapy/scrapy,web-scraping,10
D4Vinci/Scrapling,web-scraping,10
firecrawl/firecrawl,web-scraping,10
firecrawl/firecrawl-mcp-server,web-scraping,20
getmaxun/maxun,web-scraping,20
adbar/trafilatura,data-extraction,20
alirezamika/autoscraper,web-scraping,30
apify/crawlee,web-scraping,10
apify/crawlee-python,web-scraping,20
code4craft/webmagic,web-scraping,30
brightdata/cli,web-scraping,30
dzhng/deep-research,data-extraction,30
MontFerret/ferret,web-scraping,30
soimort/you-get,data-extraction,40
clips/pattern,data-extraction,40
n8n-io/n8n,workflow-automation,10
automatisch/automatisch,workflow-automation,20
apache/airflow,workflow-automation,10
triggerdotdev/trigger.dev,workflow-automation,10
PrefectHQ/prefect,workflow-automation,10
bytedance/flowgram.ai,workflow-automation,20
airbytehq/airbyte,data-extraction,10
n8n-io/self-hosted-ai-starter-kit,self-hosting,20
TabbyML/tabby,developer-productivity,20
cloudflare/agentic-inbox,ai-agent,30
moeru-ai/airi,ai-agent,30
blinkospace/blinko,self-hosting,30
karakeep-app/karakeep,self-hosting,20
getumbrel/llama-gpt,self-hosting,30
crestalnetwork/intentkit,ai-agent,30
raga-ai-hub/RagaAI-Catalyst,observability,30
llmware-ai/llmware,rag,20
confident-ai/deepeval,testing,10
microsoft/BitNet,llm-serving,20
openai/evals,testing,10
cloudwego/eino,ai-agent,20
kvcache-ai/ktransformers,llm-serving,20
pathwaycom/pathway,data-extraction,20
ludwig-ai/ludwig,ai-agent,30
neuml/txtai,rag,20
run-llama/llama_index,rag,10
sgl-project/sglang,llm-serving,10
huggingface/transformers,llm-serving,10
TauricResearch/TradingAgents,ai-agent,30
AstrBotDevs/AstrBot,ai-agent,30
open-webui/open-webui,self-hosting,10
open-webui/pipelines,llm-serving,20
open-webui/mcpo,api,30
ollama/ollama,llm-serving,10
ollama/ollama-python,developer-productivity,30
ollama/ollama-js,developer-productivity,30
brycedrennan/imaginAIry,image-generation,30
yuanzhongqiao/printfilm,video-generation,20
duixcom/Duix-Avatar,video-generation,20
YILS-LIN/short-video-factory,video-generation,20
zhouxiaoka/autoclip,video-generation,20
krillinai/KrillinAI,video-generation,10
open-mmlab/mmagic,image-generation,20
HBAI-Ltd/Toonflow-app,video-generation,20
browser-use/video-use,video-generation,30
Forget-C/Jellyfish,video-generation,30
SamurAIGPT/Generative-Media-Skills,content-automation,30
